huff_rank,selected_for_next_step,selection_method,ykiho,hospital_name,hospital_type,disease,specialist_score,hospital_weight,capability_score,straight_distance_km,huff_utility,huff_probability,cumulative_probability,kneedle_score,tmap_success,tmap_error,route_distance_km,route_duration_min,taxi_fare,toll_fare,final_utility,final_probability,is_pareto,matched_reason
46,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz,인제대학교 해운대백병원,종합병원,암,28.0,1.0,28.0,229.12183612374955,0.0005329004136049069,0.0042755160416590625,0.8892414564501374,0.4910113679545622,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
47,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,상급종합,암,27.0,2.0,54.0,330.455582785351,0.0004942023054164127,0.003965037051367955,0.8932064935015054,0.48612684748380625,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
48,False,,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,순천향대학교부속 천안병원,종합병원,암,27.0,1.0,27.0,243.80109801392237,0.0004538749909254139,0.003641486767634965,0.8968479802691404,0.4809187767293174,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
49,False,,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,창원한마음병원,종합병원,암,16.0,1.0,16.0,189.35408388440666,0.00044577123422529126,0.0035764694756897494,0.9004244497448302,0.47564568868288326,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
50,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,국립암센터,종합병원,암,49.0,1.0,49.0,337.09160149820787,0.00043096557633329983,0.0034576821259177572,0.903882131870748,0.47025381328667715,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
51,False,,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,학교법인 을지학원 대전을지대학교병원,종합병원,암,17.0,1.0,17.0,199.80469438095201,0.0004254053385907774,0.0034130717539670643,0.907295203624715,0.46481732751852034,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
52,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,상급종합,암,21.0,2.0,42.0,320.20347361029286,0.00040937940777061884,0.0032844940262062704,0.9105796976509213,0.4592522640226027,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
53,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한림대학교성심병원,상급종합,암,19.0,2.0,38.0,307.4463096810897,0.00040175617095966723,0.003223331995848467,0.9138030296467697,0.45362603849632727,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
54,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,상급종합,암,21.0,2.0,42.0,326.58106692818023,0.000393551307667665,0.0031575035150873624,0.9169605331618571,0.4479339844892907,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
55,False,,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNTEjJDEjJDIjJDgz,학교법인 가톨릭학원 가톨릭대학교 대전성모병원,종합병원,암,15.0,1.0,15.0,197.39152782090767,0.00038458675202286495,0.0030855799427140364,0.9200461131045712,0.4421700069098809,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
56,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,차의과학대학교분당차병원,종합병원,암,36.0,1.0,36.0,310.71545128001486,0.000372646717523513,0.0029897837906814164,0.9230358968952526,0.4363102331784384,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
57,False,,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,창원경상국립대학교병원,종합병원,암,12.0,1.0,12.0,188.65662424505643,0.00033680369124092083,0.00270221142267337,0.9257381083179259,0.43016288707898787,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
58,False,,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,대구파티마병원,종합병원,암,16.0,1.0,16.0,219.35445215840213,0.0003322241436989001,0.0026654692313003185,0.9284035775492262,0.42397879878816425,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
59,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,연세대학교 의과대학 용인세브란스병원,종합병원,암,26.0,1.0,26.0,295.5467893324141,0.0002974589317597485,0.002386544281079279,0.9307901218303055,0.41751578554711966,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
60,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,한국원자력의학원원자력병원,종합병원,암,33.0,1.0,33.0,334.5345144341994,0.00029469480170465245,0.002364367375056915,0.9331544892053625,0.4110305954000527,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
61,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,서울특별시보라매병원,종합병원,암,29.0,1.0,29.0,318.55389036692725,0.00028560088430689226,0.002291405919739913,0.9354458951251023,0.40447244379766867,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
62,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,의료법인 은성의료재단 좋은강안병원,종합병원,암,14.0,1.0,14.0,222.18869207584882,0.00028333047823185097,0.002273190213114254,0.9377190853382166,0.3978960764886591,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
63,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz,이화여자대학교의과대학부속서울병원,종합병원,암,30.0,1.0,30.0,325.3770382793923,0.0002831917151978091,0.0022720769027041125,0.9399911622409207,0.39131859586923934,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
64,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,한림대학교동탄성심병원,종합병원,암,23.0,1.0,23.0,288.87040042556845,0.0002754362624352682,0.002209854089866972,0.9422010163307877,0.3846788924369824,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
