ykiho,hospital_name,hospital_type,address,latitude,longitude,departments,specialists,equipment,special_treatments
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,순천향대학교 부속 서울병원,종합병원,"서울특별시 용산구 대사관로 59, (한남동)",37.5338040,127.0042579,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""방사선종양학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""핵의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""예방의학과"", ""구강악안면외과"", ""치과보철과"", ""치과교정과"", ""소아치과"", ""치주과"", ""치과보존과"", ""구강내과"", ""영상치의학과"", ""구강병리과"", ""예방치과""]","{""가정의학과"": 5, ""구강악안면외과"": 1, ""내과"": 60, ""마취통증의학과"": 10, ""방사선종양학과"": 2, ""병리과"": 7, ""비뇨의학과"": 6, ""산부인과"": 7, ""성형외과"": 4, ""소아청소년과"": 14, ""신경과"": 8, ""신경외과"": 6, ""심장혈관흉부외과"": 7, ""안과"": 9, ""영상의학과"": 13, ""예방의학과"": 1, ""외과"": 10, ""응급의학과"": 13, ""이비인후과"": 6, ""재활의학과"": 3, ""정신건강의학과"": 5, ""정형외과"": 14, ""직업환경의학과"": 2, ""진단검사의학과"": 6, ""치과교정과"": 1, ""치과보존과"": 1, ""치과보철과"": 1, ""피부과"": 3, ""핵의학과"": 2}","[""콘빔CT"", ""종양치료기 (Cyber Knife)"", ""인큐베이터"", ""골밀도검사기"", ""일반엑스선촬영장치"", ""체외충격파쇄석기"", ""MRI"", ""ECMO"", ""CT"", ""혈액투석을위한인공신장기"", ""양전자단층촬영기 (PET)"", ""인공호흡기"", ""초음파영상진단기"", ""분만감시기"", ""유방촬영장치""]","[""(정신질환)병원기반 시범기관"", ""암환자 재택의료 시범기관"", ""조혈모세포이식 실시기관"", ""신속대응시스템 시범기관"", ""응급의료기관"", ""차세대염기서열분석 기반 유전자 패널검사 실시기관"", ""수면다원검사 실시기관"", ""복막투석 환자 재택관리 시범기관"", ""인공와우 실시기관"", ""간호간병통합서비스 제공기관"", ""개방병원"", ""측두하악관절자극요법 실시기관"", ""HPV 국가예방접종사업 참여기관"", ""암환자(요루) 재택의료 시범기관"", ""성인 중환자실"", ""신생아 중환자실""]"
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,순천향대학교부속 천안병원,종합병원,"충청남도 천안시 동남구 순천향6길 31,  5동 (봉명동,순천향대학교병원)",36.8027381,127.1358588,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""방사선종양학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""핵의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""구강악안면외과"", ""치과보철과"", ""치주과""]","{""가정의학과"": 6, ""구강악안면외과"": 1, ""내과"": 62, ""마취통증의학과"": 14, ""방사선종양학과"": 3, ""병리과"": 1, ""비뇨의학과"": 6, ""산부인과"": 8, ""성형외과"": 5, ""소아청소년과"": 21, ""신경과"": 5, ""신경외과"": 6, ""심장혈관흉부외과"": 4, ""안과"": 5, ""영상의학과"": 11, ""예방의학과"": 1, ""외과"": 19, ""응급의학과"": 12, ""이비인후과"": 5, ""재활의학과"": 2, ""정신건강의학과"": 6, ""정형외과"": 7, ""직업환경의학과"": 8, ""진단검사의학과"": 3, ""치과보철과"": 1, ""통합치의학과"": 2, ""피부과"": 4, ""핵의학과"": 4}","[""유방촬영장치"", ""CT"", ""골밀도검사기"", ""혈액투석을위한인공신장기"", ""MRI"", ""분만감시기"", ""인공호흡기"", ""체외충격파쇄석기"", ""일반엑스선촬영장치"", ""양전자단층촬영기 (PET)"", ""초음파영상진단기"", ""인큐베이터"", ""ECMO"", ""콘빔CT""]","[""HPV 국가예방접종사업 참여기관"", ""심장질환자 재택의료 시범기관"", ""응급의료기관"", ""차세대염기서열분석 기반 유전자 패널검사 실시기관"", ""인공와우 실시기관"", ""복막투석 환자 재택관리 시범기관"", ""재활환자 재택의료 시범기관"", ""자문형 호스피스전문기관"", ""수면다원검사 실시기관"", ""치매관리주치의 시범기관"", ""결핵환자 재택의료 시범기관"", ""경피적 대동맥판삽입 실시기관"", ""간호간병통합서비스 제공기관"", ""측두하악관절자극요법 실시기관"", ""신속대응시스템 시범기관"", ""(정신질환)낮병동 시범기관"", ""1형 당뇨병 환자 재택의료 시범기관"", ""성인 중환자실"", ""신생아 중환자실""]"
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjODEjJDEjJDIjJDgz,신가병원,종합병원,"전남광주통합특별시 광산구 목련로 316,  (신가동)",35.1774148,126.8296527,"[""내과"", ""신경과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""산부인과"", ""영상의학과"", ""진단검사의학과"", ""재활의학과"", ""응급의학과""]","{""내과"": 4, ""마취통증의학과"": 2, ""산부인과"": 1, ""신경과"": 1, ""신경외과"": 2, ""영상의학과"": 3, ""외과"": 1, ""응급의학과"": 4, ""재활의학과"": 2, ""정형외과"": 2, ""진단검사의학과"": 1}","[""MRI"", ""인공호흡기"", ""유방촬영장치"", ""초음파영상진단기"", ""일반엑스선촬영장치"", ""CT"", ""혈액투석을위한인공신장기"", ""골밀도검사기"", ""체외충격파쇄석기""]","[""HPV 국가예방접종사업 참여기관"", ""결핵환자 재택의료 시범기관"", ""간호간병통합서비스 제공기관"", ""응급의료기관""]"
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,씨엠병원,종합병원,"서울특별시 영등포구 영등포로36길 13, (영등포동4가, 충무병원)",37.5188597,126.9041862,"[""내과"", ""신경과"", ""외과"", ""정형외과"", ""신경외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""영상의학과"", ""진단검사의학과""]","{""내과"": 5, ""마취통증의학과"": 1, ""산부인과"": 1, ""성형외과"": 1, ""신경과"": 1, ""신경외과"": 1, ""영상의학과"": 2, ""외과"": 2, ""정형외과"": 11, ""진단검사의학과"": 1}","[""일반엑스선촬영장치"", ""유방촬영장치"", ""골밀도검사기"", ""인공호흡기"", ""초음파영상진단기"", ""MRI"", ""CT""]","[""응급의료기관""]"
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,아산충무병원,종합병원,"충청남도 아산시 문화로 381,  (모종동)",36.7792647,127.0198062,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""진단검사의학과"", ""재활의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""구강악안면외과"", ""치과보철과"", ""치과교정과"", ""소아치과"", ""치주과"", ""치과보존과"", ""구강내과"", ""영상치의학과"", ""구강병리과"", ""예방치과""]","{""가정의학과"": 4, ""내과"": 16, ""마취통증의학과"": 4, ""비뇨의학과"": 2, ""산부인과"": 1, ""성형외과"": 1, ""소아청소년과"": 4, ""신경과"": 1, ""신경외과"": 5, ""안과"": 1, ""영상의학과"": 3, ""예방의학과"": 1, ""외과"": 3, ""응급의학과"": 8, ""이비인후과"": 2, ""재활의학과"": 1, ""정신건강의학과"": 1, ""정형외과"": 4, ""직업환경의학과"": 1, ""진단검사의학과"": 2, ""피부과"": 1}","[""인공호흡기"", ""MRI"", ""초음파영상진단기"", ""ECMO"", ""체외충격파쇄석기"", ""콘빔CT"", ""혈액투석을위한인공신장기"", ""일반엑스선촬영장치"", ""유방촬영장치"", ""CT"", ""골밀도검사기""]","[""보훈위탁진료요양기관"", ""HPV 국가예방접종사업 참여기관"", ""소아 야간·휴일진료기관"", ""결핵환자 재택의료 시범기관"", ""간호간병통합서비스 제공기관"", ""응급의료기관"", ""성인 중환자실""]"
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,안동성소병원,종합병원,"경상북도 안동시 서동문로 99,  (금곡동)",36.5672422,128.7228172,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""비뇨의학과"", ""영상의학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""예방의학과"", ""구강악안면외과""]","{""가정의학과"": 3, ""내과"": 6, ""마취통증의학과"": 3, ""병리과"": 1, ""비뇨의학과"": 1, ""산부인과"": 2, ""성형외과"": 1, ""소아청소년과"": 2, ""신경과"": 1, ""신경외과"": 2, ""심장혈관흉부외과"": 1, ""안과"": 1, ""영상의학과"": 3, ""외과"": 3, ""응급의학과"": 6, ""이비인후과"": 1, ""정신건강의학과"": 4, ""정형외과"": 3, ""직업환경의학과"": 1, ""진단검사의학과"": 1}","[""골밀도검사기"", ""일반엑스선촬영장치"", ""CT"", ""분만감시기"", ""체외충격파쇄석기"", ""유방촬영장치"", ""콘빔CT"", ""혈액투석을위한인공신장기"", ""MRI"", ""초음파영상진단기"", ""인큐베이터"", ""인공호흡기""]","[""응급의료기관"", ""간호간병통합서비스 제공기관"", ""결핵환자 재택의료 시범기관"", ""HPV 국가예방접종사업 참여기관"", ""성인 중환자실""]"
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,안성성모병원,종합병원,"경기도 안성시 시장길 58, (서인동)",37.0062179,127.2709213,"[""내과"", ""신경과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""산부인과"", ""비뇨의학과"", ""영상의학과"", ""진단검사의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과""]","{""내과"": 9, ""마취통증의학과"": 1, ""비뇨의학과"": 1, ""산부인과"": 1, ""신경과"": 1, ""신경외과"": 1, ""영상의학과"": 2, ""외과"": 1, ""응급의학과"": 5, ""정형외과"": 2, ""직업환경의학과"": 2, ""진단검사의학과"": 1}","[""MRI"", ""초음파영상진단기"", ""혈액투석을위한인공신장기"", ""유방촬영장치"", ""골밀도검사기"", ""일반엑스선촬영장치"", ""CT"", ""인공호흡기"", ""체외충격파쇄석기""]","[""성인 중환자실"", ""HPV 국가예방접종사업 참여기관"", ""가정간호실시기관"", ""가정용 인공호흡기 환자 재택의료 시범기관"", ""간호간병통합서비스 제공기관"", ""응급의료기관""]"
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjNDEjJDEjJDQjJDgz,양산성모병원,종합병원,"경상남도 양산시 서창로 59, (명동)",35.4063625,129.1645144,"[""내과"", ""신경과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""소아청소년과"", ""영상의학과"", ""진단검사의학과"", ""가정의학과"", ""응급의학과"", ""통합치의학과""]","{""내과"": 2, ""마취통증의학과"": 1, ""산부인과"": 2, ""소아청소년과"": 1, ""영상의학과"": 1, ""외과"": 1, ""응급의학과"": 1, ""정형외과"": 2, ""직업환경의학과"": 1, ""진단검사의학과"": 1, ""통합치의학과"": 1}","[""골밀도검사기"", ""유방촬영장치"", ""콘빔CT"", ""초음파영상진단기"", ""혈액투석을위한인공신장기"", ""인공호흡기"", ""일반엑스선촬영장치"", ""CT"", ""MRI""]","[""성인 중환자실"", ""HPV 국가예방접종사업 참여기관"", ""응급의료기관""]"
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz,에스포항병원,종합병원,"경상북도 포항시 남구 희망대로 352,  (이동)",36.0348843,129.3314538,"[""내과"", ""신경과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""산부인과"", ""영상의학과"", ""진단검사의학과"", ""재활의학과""]","{""내과"": 6, ""마취통증의학과"": 5, ""산부인과"": 1, ""신경과"": 4, ""신경외과"": 16, ""영상의학과"": 6, ""외과"": 3, ""재활의학과"": 3, ""정형외과"": 3, ""진단검사의학과"": 1}","[""일반엑스선촬영장치"", ""인공호흡기"", ""CT"", ""초음파영상진단기"", ""골밀도검사기"", ""유방촬영장치"", ""혈액투석을위한인공신장기"", ""MRI""]","[""간호간병통합서비스 제공기관"", ""응급의료기관"", ""성인 중환자실""]"
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNDEjJDEjJDgjJDgz,여수전남병원,종합병원,"전남광주통합특별시 여수시 좌수영로 49,  (광무동)",34.7450673,127.7280181,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""비뇨의학과"", ""영상의학과"", ""병리과"", ""진단검사의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과""]","{""가정의학과"": 5, ""내과"": 7, ""마취통증의학과"": 3, ""비뇨의학과"": 1, ""산부인과"": 1, ""소아청소년과"": 1, ""신경과"": 1, ""신경외과"": 1, ""영상의학과"": 3, ""외과"": 5, ""응급의학과"": 5, ""정신건강의학과"": 2, ""정형외과"": 3, ""직업환경의학과"": 3, ""진단검사의학과"": 2, ""치주과"": 1}","[""초음파영상진단기"", ""인공호흡기"", ""혈액투석을위한인공신장기"", ""유방촬영장치"", ""체외충격파쇄석기"", ""MRI"", ""일반엑스선촬영장치"", ""골밀도검사기"", ""CT"", ""인큐베이터""]","[""성인 중환자실"", ""HPV 국가예방접종사업 참여기관"", ""간호간병통합서비스 제공기관"", ""보훈위탁진료요양기관"", ""응급의료기관""]"
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,여천전남병원,종합병원,"전남광주통합특별시 여수시 무선로 95,  (선원동)",34.7690278,127.6542286,"[""내과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""이비인후과"", ""비뇨의학과"", ""영상의학과"", ""병리과"", ""진단검사의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""치과보존과""]","{""가정의학과"": 5, ""내과"": 6, ""마취통증의학과"": 2, ""병리과"": 1, ""비뇨의학과"": 1, ""산부인과"": 2, ""소아청소년과"": 1, ""신경외과"": 2, ""영상의학과"": 4, ""외과"": 5, ""응급의학과"": 4, ""이비인후과"": 1, ""정신건강의학과"": 1, ""정형외과"": 4, ""직업환경의학과"": 3, ""진단검사의학과"": 1, ""통합치의학과"": 2, ""핵의학과"": 1}","[""CT"", ""초음파영상진단기"", ""골밀도검사기"", ""혈액투석을위한인공신장기"", ""인공호흡기"", ""MRI"", ""일반엑스선촬영장치"", ""인큐베이터"", ""유방촬영장치"", ""체외충격파쇄석기""]","[""성인 중환자실"", ""응급의료기관"", ""HPV 국가예방접종사업 참여기관"", ""간호간병통합서비스 제공기관""]"
